file_name,PA_length,PA_diameter,Node_nb,SA_nb,SA_average,SA_int,TA_nb,TA_average,TA_int,QA_nb,Sp_nb,SA,SA_length,node,TA_nb,Sp_nb,SA_int,TA,TA_length,QA_nb,Sp_nb,TA_int,QA,QA_length,Sp_nb,QA_int
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA4,13.56,2,4,21,2.95,SA4_TA3,2.88,0,4,4.19,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA4,13.56,2,4,21,2.95,SA4_TA4,2.58,0,3,5.88,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA5,13.56,2,3,19,0.0,SA5_TA1,3.12,0,5,1.15,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA5,13.56,2,3,19,0.0,SA5_TA2,2.5,0,4,2.33,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA5,13.56,2,3,19,0.0,SA5_TA3,1.94,0,3,4.49,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA6,12.85,3,3,16,3.66,SA6_TA1,2.41,0,3,1.82,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA6,12.85,3,3,16,3.66,SA6_TA2,2.13,0,3,3.29,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA6,12.85,3,3,16,3.66,SA6_TA3,2.18,0,3,5.74,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA7,12.73,4,3,16,0.18,SA7_TA1,1.75,0,3,0.79,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA7,12.73,4,3,16,0.18,SA7_TA2,2.03,0,2,2.55,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA7,12.73,4,3,16,0.18,SA7_TA3,2.25,0,3,4.21,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA8,10.71,5,3,16,3.75,SA8_TA1,2.6,0,4,1.07,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA8,10.71,5,3,16,3.75,SA8_TA2,2.14,0,4,2.37,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA8,10.71,5,3,16,3.75,SA8_TA3,2.02,0,2,4.6,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA9,10.76,6,2,14,0.92,SA9_TA1,2.51,0,4,1.75,NV,NV,NV,NV
10_2_1_1_2_DSC01293,11.67,0.86,6,9.0,12.2,1.46,30.0,2.25,0.3,0.0,157,SA9,10.76,6,2,14,0.92,SA9_TA2,2.07,0,3,3.75,NV,NV,NV,NV

10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA1,3.33,1,1,0,0,SA1_TA1,2.27,0,3,0.22,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA2,12.88,1,4,18,0.13,SA2_TA1,2.13,0,3,0.95,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA2,12.88,1,4,18,0.13,SA2_TA2,2.31,0,3,1.94,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA2,12.88,1,4,18,0.13,SA2_TA3,1.49,0,2,3.71,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA2,12.88,1,4,18,0.13,SA2_TA4,2.14,0,3,5.0,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA3,12.98,2,5,17,2.31,SA3_TA1,2.63,0,4,0.16,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA3,12.98,2,5,17,2.31,SA3_TA2,1.9,0,0,1.11,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA3,12.98,2,5,17,2.31,SA3_TA3,2.13,0,0,1.59,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA3,12.98,2,5,17,2.31,SA3_TA4,1.82,0,0,3.4,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA3,12.98,2,5,17,2.31,SA3_TA5,1.94,0,2,4.66,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA4,13.23,3,5,17,0.18,SA4_TA1,2.37,0,3,1.29,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA4,13.23,3,5,17,0.18,SA4_TA2,2.07,0,3,2.16,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA4,13.23,3,5,17,0.18,SA4_TA3,2.02,0,3,3.91,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA4,13.23,3,5,17,0.18,SA4_TA4,1.44,0,3,6.25,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA4,13.23,3,5,17,0.18,SA4_TA5,0.72,0,0,11.83,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA5,10.85,4,3,17,0.48,SA5_TA1,1.74,0,4,0.6,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA5,10.85,4,3,17,0.48,SA5_TA2,1.76,0,3,2.18,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA5,10.85,4,3,17,0.48,SA5_TA3,2.0,0,3,3.33,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA6,23.49,5,9,18,3.21,SA6_TA1,0.0,0,0,0.19,NV,NV,NV,NV
10_2_1_1_3_DSC01295,13.91,0.86,10,11.0,11.96,1.39,41.0,2.28,0.18,0.0,192,SA6,23.49,5,9,18,3.21,SA6_TA2,2.39,0,3,0.64,NV,NV,NV,NV
